,title,description,datetime,category,agency
103,یوسفی: برای توسعه میادین مشترک نفتی و گازی از منابع مردم استفاده کنیم,"
یک نماینده مجلس شورای اسلامی با بیان اینکه «الان در حوزه میادین مشترک صنعت نفت و گاز به حداقل ۸۰ میلیارد دلار سرمایه گذاری نیاز داریم»، گفت: در اینجا می توانیم از منابع خرد مردم استفاده کنیم و باید مکانیزمی برای جمع آوری منابع خرد مردم وجود داشته باشد تا بتوانیم ضمن سهیم کردن مردم در این امر فازهای پارس جنوبی را توسعه دهیم.
",2022-10-18 16:16:37,اخبار ارزی,اقتصادگردان
104,قالیباف: چالش و مانع جدی در حوزه گاز «ناترازی» است، توقع مردم حل و فصل مشکل است,"
رئیس مجلس شورای اسلامی «ناترازی» را چالش و مانع جدی و اساسی کشور در حوزه گاز عنوان کرد و گفت: نظام حکمرانی در کشور سالانه ۱۰ ها میلیارد دلار سرمایه را از بین می برد و گازی که می‌توان در پتروپالایشگاه ها و صادرات استفاده کنیم و بزرگترین منابع درآمدی ما هستند را هدر می دهیم.
",2022-10-18 16:16:35,اخبار ارزی,اقتصادگردان
105,دولت ۱۲ میلیارد دلار پول ارز یارانه‌ای را در جیبش گذاشت,"
دولت ۱۲ میلیارد دلار پول ارز یارانه‌ای را در جیبش گذاشت/ قرار بود کالابرگ بدهند، ندادند/ بعد از سامانه بازرگام یک سامانه جدید دیگر (سیتکا) ظهور کرد/ مردم توان خرید مرغ ندارند/ رئیسی مرغ را یکساله از ۲۴ هزار تومان به ۷۰ هزار تومان رساند.
",2022-10-18 16:11:42,اخبار ارزی,خبرگزاری آفتاب
106,آتیه روپیه؛ تیره و تار!,"
پیرو تغییر سیاست مالی بریتانیا و خوش‌بینی سرمایه‌گذاران، روپیه هند با رقم 82.34 دلار روز را به پایان رساند.
",2022-10-18 15:51:09,اخبار ارزی,اخبار ویژه
107,نرخ رسمی ۱۶ ارز کاهش یافت,"
نرخ ارز در صرافی ملی و نرخ رسمی ۴۶ ارز اعلام شده توسط بانک مرکزی، نشان‌دهنده افزایش نرخ ۱۴ ارز، کاهش قیمت ۱۶ ارز و ثبات قیمتی در ۱۶ نرخ دیگر است.
",2022-10-18 15:46:59,اخبار ارزی,نبض بازار
108,کاهشی قیمت نفت اوپک وپیش بینی مورگان استنلی از افزایش قیمت,"
قیمت سبد نفتی اوپک به روند کاهشی خود در روزهای اخیر ادامه داد.به گزارش دبیرخانه سازمان کشورهای صادرکننده نفت (اوپک، قیمت سبد نفتی اوپک ۹۵ دلار و ۱۱ سنت ثبت شد.
",2022-10-18 15:16:33,اخبار ارزی,اقتصادگردان
109,معامله 88 هزار تنی محصولات پلیمری در بورس کالا، 2716 میلیارد تومان محصولات پلیمری معامله شد,"
تقاضای محصولات پلیمری، متاثر از تحولات اقتصاد جهانی، رشد قیمت نفت، افزایش نرخ دلار و عدم پیش بینی وضعیت بازارها در هفته های آینده، افزایش یافته و در بورس کالا نیز شاهد رشد تقاضای معاملات هستیم.
",2022-10-18 15:16:32,اخبار ارزی,اقتصادگردان
110,افت قیمت‌های اتیلن آسیا و پایداری روند پروپیلن,"
تاجران خبر از محموله‌های آمریکایی بسیاری در سپتامبر داده، و همچنین محموله‌های بسیاری در اکتبر بارگیری شده و روانه آسیا خواهند شد. یکی از تاجران چینی محموله 11500 تنی آمریکایی برای تحویل در نوامبر را با میزان 920 تا 940 دلار در هر تن (سی‌ف‌آر) خریداری کرد. محموله آمریکایی 11500 تنی دیگری توسط تولیدکننده پی‌وی‌سی چینی با بارگیری در اواسط سپتامبر خریداری شد.
",2022-10-18 15:16:31,اخبار ارزی,اقتصادگردان
111,قیمت بیت کوین همچنان در کانال ۲۱ هزار دلاری,"
در حال حاضر بازار رمزارزها شاهد نوسانات جزئی بوده و اکنون بیت کوین در کانال ۲۱ هزار دلاری قرار دارد.
",2022-10-18 15:11:43,اخبار ارزی,اقتصاد آنلاین
112,نباید هدف‌گذاری تورم را به نرخ ارز شناور و استفاده فعال از نرخ بهره تقلیل دهیم / اتفاقات سال‌های گذشته، پتانسیل رشد اقتصاد ایران را افزایش داد,"
در سال‌های گذشته ایران همواره با تورم‌های مزمن دو رقمی روبرو بوده است، تورم‌هایی که قبلا در محدوده ۲۰درصد تجربه می‌شد، اما درحال حاضر به محدوده ۴۰ درصد رسیده و به نظر می‌رسد که ماندگار شده است. راه‌حل اصلی که در اقتصاد جهانی برای عبور از این شرایط تورمی مطرح می‌شود و کشورهای مختلفی آن را اجرا کرده و توانستند تورم را کنترل کنند و به جز دوره کرونا که یک شوک بزرگ به اقتصاد تمام کشورها اصابت کرد، دیگر اثر چندانی از تورم‌های دو رقمی و حتی بالای ۵درصد مشاهده نمی‌شود، اعمال چارچوب هدف‌گذاری تورمی است.
",2022-10-18 15:06:37,اخبار ارزی,اقتصاد آنلاین
113,قیمت یورو بدون تغییر ماند,"
 جدیدترین قیمت یورو امروز ۲۶ مهر ۱۴۰۱ را می‌توانید در گزارش زیر مشاهده کنید.
",2022-10-18 15:02:05,اخبار ارزی,نبض بازار
114,تمام کار‌ها مغفول مانده؛ نمی‌توانیم به مشتریان خارجی‌مان بگوییم «سروش» و «بله» نصب کنند / در روز‌هایی که ما اینجا اینترنت را بستیم و با مافیای وی پی ان دست و پنجه نرم می‌کردیم، در همین دبی نمایشگاهی برگزار و چندین میلیارد دلار سرمایه در حوزه IT و ICT جابه جا شد / سرمایه‌گذار مثل گنجشکی می‌ماند که با اولین شلیک، می‌رود,"
علی شریعتی عضو اتاق بازرگانی ایران و عراق درخصوص تاثیری که قطعی اینترنت بر کار تجار و فعالیت‌های تجاری گذاشته است، می‌گوید که ما که کارمان تجارت است و می‌خواهیم با مشتریان خارجی‌مان در ارتباط باشیم، با مشکل مواجه شده‌ایم چراکه به هر حال نمی‌توانیم به مشتریان‌مان بگوییم سروش و بله نصب کنند. نرخ FDI یکی از شاخص‌های کشورهای در حال توسعه است. این عدد بسیار مهمی است که جذب سرمایه‌گذار خارجی را باید داشته باشیم تا محقق شود. یکی از پیشنیازها برای سنجش آن، سهولت کسب و کارهاست که متاسفانه ما روز به روز داریم از این کار فاصله می‌گیریم.
",2022-10-18 14:47:19,اخبار ارزی,انتخاب
115,قیمت نفت برنت ۹۲ دلار و ۴۴ سنت,"
 قیمت نفت در روز سه‌شنبه به دلیل کاهش ارزش دلار و مشکلات عرضه کمی افزایش یافت.
",2022-10-18 14:42:06,اخبار ارزی,ایران اکونومیست
116,ژاپن نمی‌تواند و نمی‌خواهد از ین دفاع کند,"
نرخ برابری ین ژاپن به دلار از ابتدای هفته به پایین‌ترین حد خود در 32 سال اخیر رسیده است و به نظر می‌رسد که این روند ادامه‌دار است.
",2022-10-18 14:38:24,اخبار ارزی,اخبار ویژه
117,آغاز معاملات توافقی در کانال ۲۶ هزار تومان/ ریزش قیمت دلار ادامه داردارز&nbsp;,"
معاملات توافقی دلار امروز (یکشنبه‌، ۳۰ مردادماه) در کانال قیمتی ۲۶ هزار تومان آغاز شد.
",2022-10-18 14:32:19,اخبار ارزی,ارانیکو
118,حضور شرکت فناوران ایمن‌شبکه‌ فاش در اینوکس ۲۰۲۲ / شرکتی که برای تمام ابعاد شبکه کیف…,"
",2022-10-18 14:32:08,اخبار ارزی,راه پرداخت
119,حضور موثر پتروشیمی ها در بازار ارز نتیجه حمایت های گذشته است,"
اگر سرمایه گذاری های عظیم دهه های قبل، کاهش قیمت خوراک و زیرساخت ها و حمایت های دولت و ایجاد محیط کسب وکار مناسب نبود، امروز نمی توانستیم شاهد صادرات بالای 22 میلیارد دلاری پتروشیمی، حضور موثر در بازار ارز، تولید بالا، حضور در بازار جهانی، تامین نیازهای داخلی و... باشیم. در نتیجه هر آنچه در گذشته می کاریم امروز برداشت می کنیم و هر آنچه امروز می کاریم در سال های بعد برداشت خواهیم کرد.
",2022-10-18 14:16:56,اخبار ارزی,اقتصادگردان
120,فشار بر پنج شرکت چینی برای تجارت نفت و پتروشیمی با ایران,"
آمریکا با هدف قرار دادن شرکت‌های چینی تحریم‌های جدیدی را بر صادرات نفت ایران اعمال کرد. وزارت خزانه‌ داری آمریکا همچنین تحریم‌هایی بر شبکه‌ای از شرکت‌ها که در فروش صدها میلیون دلار محصولات پتروشیمی و نفتی ایران به جنوب و شرق آسیا مشارکت داشته اعمال کرد.
",2022-10-18 14:16:55,اخبار ارزی,اقتصادگردان
121,سبقت روبل و افغانی از دلار,"
قیمت روبل روسیه در بازار آزاد ارز تهران از ابتدای سال حدود ۱۰۴ درصد رشد داشته. بازدهی دلار آمریکا در این مدت تقریبا ۲۵ درصد بوده است
",2022-10-18 14:16:53,اخبار ارزی,فرارو
122,اظهار نظر رئیس اتاق بازرگانی تهران درباره تک نرخی شدن نرخ ارز | عوامل ایجاد تورم در کشور,"
رئیس اتاق بازرگانی تهران ضمن تاکید بر لروم تک‌نرخی شدن ارز گفت: دست‌اندازی دولت‌ها به بانک‌ها که امسال هم بسیار صورت گرفته، یکی از دلایل ایجاد تورم است.
",2022-10-18 14:02:02,اخبار ارزی,همشهری آنلاین
123,دلار در معاملات امروز چقدر قیمت خورد؟ | جدیدترین تغییرات قیمتی دلار و یورو ؛ ۲۶ مهر ۱۴۰۱,"
قیمت فروش دلار امروز در صرافی‌های بانکی ۲۸ هزار و ۹۲۳ تومان اعلام شد. دلار توافقی نیز در قیمت ۳۱ هزار و ۳۸۵ تومان معامله شد.
",2022-10-18 14:02:00,اخبار ارزی,همشهری آنلاین
124,شوک شدید برجام به قیمت ارز/ دلار سقوط کردارز&nbsp;,"
بسیاری از تحلیلگران پیش‌بینی می‌کنند در صورت تداوم اخبار مثبت از شرایط مذاکرات، احتمال پایین آمدن دلار به کانال‌های پایین‌تر هم وجود دارد.
",2022-10-18 13:51:38,اخبار ارزی,ارانیکو
125,اخبار لحظه‌ای و مهم ارز‌های دیجیتال | بهای بیت کوین به یک میلیون دلار می‌رسد؟,"
در این خبر شما می توانید جدیدترین و مهمترین اخبار ارز دیجیتال امروز را ببینید. اخباری که می تواند بازار ارزهای دیجیتال امروز را تحت تاثیر قرار دهد.
",2022-10-18 13:47:23,اخبار ارزی,نبض بورس
126,مشخصات سری ردمی نوت ۱۲ فاش شد,"
",2022-10-18 13:46:53,اخبار ارزی,دیجی کالا مگ
127,۵۱ پایان برتر فیلم‌ها در تاریخ سینما,"
",2022-10-18 13:46:50,اخبار ارزی,دیجی کالا مگ
128,ارزلونا چیست؟ پیش بینی، تحلیل و بررسی آینده ارزلونا,"
ارزلونا، یکی از فعال­ترین ارز‌های دیجیتال در حال توسعه است که معامله­گران و سرمایه­گذاران را در سراسر جهان جذب کرده است
",2022-10-18 13:46:43,اخبار ارزی,اقتصاد 24
129,ببینید| فروش فوق‌العاده عطر جدید ایلان ماسک با شعار عصاره امیال نفرت‌انگیز/ 2 میلیون دلار در 2 روز,"
هر بطری این عطر 100 دلار فروخته شده است.
",2022-10-18 13:26:33,اخبار ارزی,عصر ایران
130,تمدید وعده واردات‌خودرو,"
",2022-10-18 13:26:30,اخبار ارزی,جام جم آنلاین
131,دلار، قیمت نفت را بالا برد/ برنت ۹۲ دلار و ۴۴ سنت,"
قیمت نفت در روز سه‌شنبه به دلیل کاهش ارزش دلار و مشکلات عرضه کمی افزایش یافت.
",2022-10-18 13:17:01,اخبار ارزی,مهر
132,آخرین قیمت ارز؛ دلار توافقی ۳۱۳۵۰ تومان,"
امروز در بازار توافقی قیمت دلار و یورو با تغییراتی مواجه شدند هم اکون هر دلار در این بازار به قیمت ۳۱۳۵۰ تومان معامله می شود.
",2022-10-18 13:16:57,اخبار ارزی,مهر
133,طلای جهانی ثابت شد,"
قیمت طلا امروز(سه‌شنبه ۱۸ اکتبر) با توقف رشد دلار ثابت بود، اگر چه خطرات ناشی از افزایش بهره تهاجمی توسط فدرال رزرو ایالات‌متحده، رشد شمش‌های با بازده صفر را محدود کرد.
",2022-10-18 13:11:39,اخبار ارزی,خبرگزاری آفتاب
134,بریتانیا در آستانه تورم دو رقمی,"
شاخص قیمت مصرف کننده بریتانیا این هفته منتشر می‌شود. این شاخص از بزرگترین عوامل تصمیم‌گیری بانک مرکزی انگلیس در اوایل نوامبر در مورد نرخ بهره خواهد بود.
",2022-10-18 13:08:51,اخبار ارزی,اخبار ویژه
135,قیمت دلار امروز سه شنبه ۱۴۰۱/۷/۲۶,"
در صرافی‌های بانکی قیمت فروش دلار ۲۸ هزار و ۹۲۳ تومان و قیمت خرید دلار از مردم ۲۸ هزار و ۶۳۶ تومان تعیین شده است.
",2022-10-18 13:02:24,اخبار ارزی,خبرگزاری دانشجو
136,تضمینی که آمریکا به طالبان داد/ پشت پرده یک نشست,"
اکوایران : ماه گذشته طالبان گفته بود که تصمیم ایالات متحده در باب ده میلیارد دلار دارایی افغانستان غیر قابل قبول و نقض هنجارهای بین المللی است.
",2022-10-18 13:02:19,اخبار ارزی,دنیای اقتصاد
137,تامین ارز خدماتی شرکت های دانش بنیان به دو روز کاهش یافت,"
بانک مرکزی اعلام کرد: با هدف حمایت از شرکت های دانش بنیان و تسهیل در ارائه خدمات ارزی به این شرکت ها، شرکت های مذکور می توانند پس از تأئید معاونت علمی و فناوری ریاست جمهوری و ارائه درخواست به بانک های عامل، ارز مورد نیاز برای مصارف خرد را طی ۴۸ ساعت دریافت کنند.
",2022-10-18 12:51:39,اخبار ارزی,اقتصاد آنلاین
138,قالیباف: سالانه بین ۶۰ تا ۸۰ میلیارد دلار انرژی‌های‌مان را هدر می دهیم,"
امروز کسی که در حال اسراف کردن است آنطور که باید هزینه سوخت مصرفی خود را پرداخت نمی‌کند و در طرف مقابل نیز کسی هم که کم مصرف می‌کند، منفعت اقتصادی از این موضوع عایدش نمی‌شود. باید این ناترازی و ناعدالتی را برطرف کنیم.
",2022-10-18 12:51:37,اخبار ارزی,عصر ایران
139,اپل احتمالاً سال ۲۰۲۴ از اولین دستگاه تاشو خود رونمایی می‌کند,"
",2022-10-18 12:46:35,اخبار ارزی,دیجی کالا مگ
140,قیمت دلار در صرافی‌های بانکی، امروز ۲۶ مهر ۱۴۰۱,"
صرافی‌های بانک‌ها صبح امروز ۲۶ مهر ۱۴۰۱ قیمت دلار را برای فروش به مردم ۲۸۹۲۳۹ ریال اعلام کرده‌اند که نسبت به آخرین قیمت‌های روز کاری گذشته تغییری نکرده است. نرخ خرید در این صرافی‌ها نیز ۲۸۶۳۶۱ است.
",2022-10-18 12:46:28,اخبار ارزی,انتخاب
141,شوک بامدادی آمریکا به قیمت دلار در بازار ایران,"
بازار ارز این روزها با آماج اخبار منفی رو به رو شده و فشار زیادی بر بازار ارز است. در بامداد روز سه شنبه خبر دیگری نیز منتشر شد سخنگوی کاخ سفید گفت چشم اندازی برای احیای برجام در آینده نزدیک وجود ندارد و در صورت نیاز گزینه نظامی علیه ایران روی میز است خبری که به نظر نمی رسد معامله گران کاهشی در بازار ارز را در بازار امروز خوشحال کند.
",2022-10-18 12:46:24,اخبار ارزی,اقتصاد 24
142,روبل قوی به ثبات رسید,"
در حالی که بازارهای روسیه امروز با سطوح ثابتی باز شدند، روبل در برابر دلار کاهش، اما در مقابل یورو افزایش یافت؛ البته ارز روسیه در برابر یوان تغییری نکرد.
",2022-10-18 12:34:29,اخبار ارزی,اخبار ویژه
143,قیمت طلا و دلار امروز سه شنبه 26 مهر 1401 / عقب نشینی قیمت طلا و دلار,"
اقتصادنیوز: امروز قیمت طلا 18 عیار کاهش یافت.
",2022-10-18 12:02:40,اخبار ارزی,اقتصاد نیوز
144,افزایش سود خالص دلار آمریکا در معاملات جهانیارز&nbsp;,"
بر اساس محاسبات رویترز و داده‌های کمیسیون معاملات آتی کالای ایالات‌متحده، موقعیت سود خالص دلار آمریکا در هفته اخیر و سود خالص یورو افزایش یافت.
",2022-10-18 11:56:30,اخبار ارزی,ارانیکو
145,قالیباف خطاب به وزیر نفت: شما فکر می‌کنید ۸۰ میلیارد دلار پول وجود دارد که بدهند تا ناترازی گاز را حل کنید؟ / به جای دست گدایی دراز کردن، مصرف و هدررفت انرژی را اصلاح کنید,"
محمدباقر قالیباف رئیس مجلس شورای اسلامی خطاب به وزیر نفت تصریح کرد: اگر جنابعالی و من به عنوان خدمتکاران مردم در قانونگذاری و اجرا حرف‌مان این باشد که ۱۰ درصد از صندوق توسعه به ما بدهید یا اینکه ۸۰ میلیارد دلا از جایی پول بدهید تا این ناترازی را درست کنیم؛ شما فکر می‌کنید که این ۸۰ میلیارد دلار پول وجود دارد که بدهید این کار را انجام دهید؟ من، شما، همه کارگران و مهندسان زحمتکش نفت و همه دلسوزان انقلاب و نظام می‌دانند که ما سالانه بین ۶۰ تا ۸۰ میلیارد دلار انرژی‌های مان را هدر می دهیم؛ آیا نمی‌خواهیم در این زمینه در کشور تصمیم بگیریم؛ چطور حاضریم دست گدایی به همه جا دراز کنیم و پول بگیریم ولی حاضر نیستیم اصلاح کنیم؟
",2022-10-18 11:46:38,اخبار ارزی,انتخاب
146,انتقاد تند قالیباف از وزیر نفت/ فکر می‌کنید 80 میلیارد دلار پول وجود دارد که می‌گویید بدهید تا این کار را انجام دهیم؟,"
قالیباف خطاب به وزیر نفت، گفت: اگر جنابعالی و من به عنوان خدمتکاران مردم در قانون‌گذاری و اجرا حرف‌مان این باشد که ۱۰ درصد از صندوق توسعه به ما دهید یا اینکه ۸۰ میلیارد دلار از جایی پول دهید تا این ناترازی را درست کنیم، آیا شما فکر می‌کنید که این ۸۰ میلیارد دلار پول وجود دارد که می‌گوئید بدهید تا این کار را انجام دهیم؟
",2022-10-18 11:46:34,اخبار ارزی,اقتصاد نیوز
147,آنچه در 26 مهر بر دلار، طلا و بیت‌کوین گذشت,"
در این گزارش قصد داریم همه‌ی تغییرات و رویدادهای بازار را از منظر ارزها، طلا، برخی جفت‌ارزها و بیت‌کوین در تاریخ 26 مهرماه مورد تجزیه و تحلیل قرار دهیم.
",2022-10-18 11:33:17,اخبار ارزی,اخبار ویژه
148,قیمت دلار و یورو در بازارهای مختلف 26 مهر 1401,"
نرخ ارز در صرافی ملی امروز سه شنبه اعلام شد و بر این اساس قیمت دلار و قیمت یورو نسبت به روز گذشته ثابت ماند.
",2022-10-18 11:32:22,اخبار ارزی,سایت طلا
149,قیمت برابری ارز‌های رایج دنیا امروز ۲۶ مهر ۱۴۰۱,"
در بازار جهانی مبادلات ارز، ارزش برابری هر دلار برابر ین ۱۴۸.۸۶ و هر یورو در برابر پوند ۰.۸۶۷۳ اعلام گردیده است.
",2022-10-18 11:26:42,اخبار ارزی,نبض بازار
150,قالیباف: آقای اوجی! به جای دست گدایی دراز کردن، مصرف و هدررفت انرژی را اصلاح کنید + فیلم,"
خبرگزاری دانشجو : قالیباف گفت: آقای اوجی، اگر جنابعالی و بنده در قانونگذاری و اجرا حرف مان این باشد که ۱۰ درصد از صندوق توسعه را بدهید یا ۸۰ میلیارد دلار پول بدهید تا من این ناترازی گاز را حل کنم؛ شما فکر می‌کنید ۸۰ میلیارد دلار پولی وجود دارد که بدهند تا این کار را انجام بدهید؟
",2022-10-18 11:11:57,اخبار ارزی,دنیای اقتصاد
151,سرمایه گذاری خارجی در ایران ۸۲ درصد کاهش یافت,"
در شش ماهه نخست امسال حجم سرمایه‌گذاری خارجی مصوب در بخش صنعت، معدن و تجارت نسبت به مدت مشابه سال قبل ۸۲.۷ درصد کاهش داشته، کشور افغانستان بیشترین حجم سرمایه‌گذاری را در کشور انجام داده‌ و فارس نیز بیشترین سرمایه را جذب کرده است.
",2022-10-18 11:06:39,اخبار ارزی,اقتصاد آنلاین
152,رشد ۲ درصدی قیمت بیت کوین,"
در حال حاضر بازار رمزارزها شاهد رشد بوده و اکنون بیت کوین در کانال ۱۹ هزار دلاری قرار دارد.
",2022-10-18 11:06:37,اخبار ارزی,اقتصاد آنلاین
153,دلار آماده ورود به کانال ۲۸ هزار تومانارز&nbsp;,"
رئیس کانون صرافان از آمادگی دلار برای ورود به کانال ۲۸ هزار تومان خبر داد.
",2022-10-18 10:46:46,اخبار ارزی,ارانیکو
154,آیفون ۲۰۰۷ با قیمت ۳۹ هزار دلار در یک مزایده به فروش رفت!,"
",2022-10-18 10:46:38,اخبار ارزی,دیجی کالا مگ
155,پیام سیاسی به دلار تهران /قیمت دلار در مسیر افزایش؟,"
به دنبال اظهارات مقام آمریکایی درباره برجام، عده ای از معامله گران از احتمال افزایش قیمت دلار در بازار امروز سخن گفتند.
",2022-10-18 10:42:03,اخبار ارزی,اقتصاد نیوز
156,ارزش ین به پایین‌ترین سطح ۳۲ ساله رسیدارز&nbsp;,"
ین ژاپن این هفته پس از رسیدن به پایین‌ترین سطح ۳۲ سال اخیر در برابر دلار آمریکا به کاهش خود ادامه داد.
",2022-10-18 10:42:01,اخبار ارزی,ارانیکو
157,قیمت کلیه ارز در صرافی ملی امروز ۲۶ مهر ۱۴۰۱+ جدول,"
نرخ ارز در صرافی ملی و نرخ رسمی ۴۶ ارز توسط بانک مرکزی اعلام شد که نشان دهنده برخی از ارز‌ها با نوسان همراه بوده است.
",2022-10-18 10:26:35,اخبار ارزی,نبض بازار
158,قیمت بیت کوین و ارز‌های دیجیتال امروز سه‌شنبه ۲۶ مهر ۱۴۰۱ + جدول,"
قیمت بیت کوین، اتریوم، تتر و سایر ارز‌های دیجیتال (رمزارزها) به دلار امروز سه‌شنبه ۲۶ مهر ۱۴۰۱ را می‌توانید در جدول زیر مشاهده نمایید. در ضمن به ساعت بروزرسانی این نرخ‌ها در بالای جدول دفت فرمایید.
",2022-10-18 10:16:49,اخبار ارزی,اقتصاد 24
159,قیمت دلار، قیمت یورو و قیمت پوند امروز سه‌شنبه ۲۶ مهر ۱۴۰۱ + جدول,"
قیمت دلار، یورو، پوند و سایر ارز‌ها امروز سه‌شنبه ۲۶ مهر ۱۴۰۱ را می‌توانید در جدول زیر مشاهده نمایید. لازم به ذکر است که این نرخ‌ها قیمت بازار آزاد است و با نرخ ارز سهمیه‌ای متفاوت است.
",2022-10-18 10:06:47,اخبار ارزی,اقتصاد 24
160,سلستیک؛ پرچمدار صنعت خودروی آمریکا چرا 300 هزار دلار قیمت دارد؟! (+عکس),"
یکی دیگر از فناورانه های سلستیک به استفاده از 115 بخش پرینت 3 بعدی مانند سوئیچ شیشه ها، دستگیره درب ها و تریم کنسول مربوط می شود. 300 قطعه نیز حاصل از فناوری شیت متال(ورق کاری) شکل گرفته اند...
",2022-10-18 10:02:38,اخبار ارزی,عصر ایران
161,شاخص دلار؛ افزایش اشتهای ریسک، ترس از مداخله سنگین,"
",2022-10-18 09:59:38,اخبار ارزی,اخبار ویژه
162,نرخ رسمی ۱۱ ارز کاهش یافت,"
بانک مرکزی امروز نرخ رسمی ۴۶ ارز را اعلام کرد که بر اساس آن نرخ ۲۵ ارز افزایش و نرخ ۱۱ ارز کاهش یافت، نرخ باقی ارزها ثابت ماند.
",2022-10-18 09:51:48,اخبار ارزی,اقتصاد آنلاین
163,صعود قیمت نفت در پی عقب‌گرد دلارنفت، گاز و پتروشیمی&nbsp;,"
قیمت نفت در معاملات روز سه‌شنبه بازار آسیا تحت تاثیر افت ارزش دلار آمریکا و مشکلات عرضه، افزایش یافت.
",2022-10-18 09:42:00,اخبار ارزی,ارانیکو
164,ادامه سردرگمی در وزارت صمت برای واردات خودرو,"
در ادامه وعده‌های متعدد وزارت صمت امید قالیباف، سخنگوی این وزارتخانه اعلام اسامی شرکت‌‌های واردکننده خودرو را به پایان مهرماه موکول کرد اما این وعده نیز ۴۸ ساعت بیشتر دوام نیاورد.
",2022-10-18 09:02:37,اخبار ارزی,خبرگزاری دانشجو
165,قیمت خودرو سه شنبه ۲۶ مهر / فعلاً خبری از کاهش قیمت نیست,"
پس از آنکه در روزهای ابتدایی هفته شاهد افزایش قیمت اغلب مدل‌های پرتقاضای خودرو بودیم، حالا دوباره به نظر می‌رسد که فعلا قیمت‌ها ثابت شده‌اند و منتظر اتفاقات پیش‌رو هستند. با این وجود نگاهی به متغیرهای اثرگذار بازار خودرو نشان می‌دهد که شاید حتی با وجود کاهش محسوس حجم معاملات و عمیق‌تر شدن رکود نباید انتظار کاهش قیمت‌ها را کشید. قیمت دلار دوباره به بالای ۳۳هزار تومان رسیده است و آنگونه که از صحبت‌های مسئولان برمی‌آید، فعلاً فعلا تکلیف واردات هم مشخص نیست. این در حالی است که پیش از این گفته می‌شد خودروهای وارداتی تا آذر ماه به کشور می‌رسند.
",2022-10-18 08:02:16,اخبار ارزی,اقتصاد آنلاین
166,احمدی نژاد ثروت ایران را به فنا داد!,"
در زمان احمدی‌نژاد ثروت بزرگی به میزان 800 میلیارد دلار به کشور رسید ولی تحولی در زیرساخت و ظرفیت ایجاد نشد.
",2022-10-18 06:26:29,اخبار ارزی,اقتصاد نیوز
167,«تورم بایدن» هزاران میلیادر دلار از پول آمریکایی‌ها را نابود کرد,"
به نظر می رسد نسخه‌ای که حاکمان پشت‌پرده‌ی دنیا برای نابودی اقتصاد و فقیرتر کردن مردم کشیده‌اند و از طریق عوامل خود در جوامع مختلف دنیا در دست اجرا دارند، اکنون گریبان مردم آمریکا را نیز گرفته است.
",2022-10-18 02:02:42,اخبار ارزی,مشرق
168,جمله دردسرساز بایدن موقع بستنی خوردن,"
اقتصادنیوز: بایدن در حال خوردن بستنی، و در پاسخ به سوال یک خبرنگار در مورد قدرت دلار و اقتصاد آمریکا، جمله‌ای می‌گوید که سوژه رسانه‌ها شد.
",2022-10-18 00:51:33,اخبار ارزی,اقتصاد نیوز
169,ارسال موشک به اوکراین دروغ است,"
سید‌رسول موسوی دستیار وزیر امور خارجه ایران در توییتی نوشت: هر روز خبر ارسال میلیاردها دلار اسلحه و کمک‌های مالی غرب به اوکراین را رسانه‌های غربی با افتخار در حمایت از یک طرف جنگ منتشر می‌کنند‏‌. اما هدف آنها از انتشار اخبار دروغین ارسال موشک توسط ایران به روسیه چیست‌؟ اصلا تسلیحات ساخت ایران چه تغییری در توازن قوا دارد؟
",2022-10-18 00:16:50,اخبار ارزی,دنیای اقتصاد
170,صرافان امروز دلار را به این قیمت خریدند/ دلار در بازار هرات چند؟,"
قیمت خرید دلار از مردم در صرافی های بانکی در سومین روز هفته اعلام شد.
",2022-10-18 00:02:27,اخبار ارزی,خبر آنلاین
171,۱۲ مورد از عجیب‌ترین گجت‌هایی که تاکنون ساخته شده‌اند,"
",2022-10-17 22:32:05,اخبار ارزی,دیجی کالا مگ
172,جریمه ۵ میلیون دلاری برای تلگرام از سوی این کشور,"
فارس : آلمان امروز دوشنبه (۲۵ مهر/۱۷ اکتبر) اعلام کرد پیام‌رسان تلگرام را به دلیل نقض قوانین آن کشور بیش از ۵ میلیون دلار جریمه کرده است.
",2022-10-17 22:11:20,اخبار ارزی,دنیای اقتصاد
173,قیمت دلار و یورو در بازارهای مختلف / قیمت فروش دلار در معاملات توافقی به ۲۷۵۰۰ تومان رسید,"
نرخ ارز در صرافی ملی امروز شنبه اعلام شد و بر این اساس قیمت دلار 42 تومان و یورو 10 تومان نسبت به ابتدای صبح کاهش یافت.
",2022-10-17 20:16:50,اخبار ارزی,سایت طلا
174,سهم ایران از بازار غذای حلال هیچ است,"
عزیزپور، سهم ایران را از بازار یک تریلیون دلاری صنعت غذا تقریبا هیچ دانست.
",2022-10-17 19:46:48,اخبار ارزی,خبرگزاری دانشجو
175,معرفی و گزیده نقدهای فیلم ترسناک «هالووین به پایان می‌رسد»,"
",2022-10-17 18:32:11,اخبار ارزی,دیجی کالا مگ
