,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,45.0,34.7,69.3,18.4,30.0,1.11,2021-04-01
1,38.6,14.0,38.0,17.6,30.3,0.0,2021-04-02
2,45.0,16.6,33.5,7.7,30.4,0.0,2021-04-03
3,59.0,28.9,34.3,9.6,30.1,0.0,2021-04-04
4,60.8,34.3,39.5,5.9,30.1,0.0,2021-04-05
5,64.2,39.7,42.8,4.0,30.0,0.0,2021-04-06
6,65.9,46.5,51.2,4.8,29.9,0.0,2021-04-07
7,62.4,43.5,51.3,8.8,30.0,0.0,2021-04-08
8,57.4,52.6,84.3,7.5,30.1,0.61,2021-04-09
9,59.7,54.5,83.8,6.3,29.9,0.0,2021-04-10
10,68.1,56.8,69.8,9.1,29.5,0.13,2021-04-11
11,57.0,50.2,78.1,9.5,29.7,0.01,2021-04-12
12,56.4,47.4,72.8,5.9,30.0,0.08,2021-04-13
13,57.2,52.3,83.9,6.7,30.0,0.0,2021-04-14
14,57.0,43.4,64.0,9.7,29.8,0.3,2021-04-15
15,52.1,31.9,46.8,11.8,29.8,0.0,2021-04-16
16,53.4,37.4,55.6,7.1,29.8,0.0,2021-04-17
17,57.2,38.3,50.7,6.8,29.9,0.0,2021-04-18
18,55.8,46.4,71.6,6.3,29.9,0.0,2021-04-19
19,62.0,44.4,57.4,11.2,29.9,0.01,2021-04-20
20,56.0,35.7,47.4,18.0,29.8,0.0,2021-04-21
21,45.3,20.3,38.0,11.7,30.0,0.0,2021-04-22
22,52.8,28.6,41.8,7.7,30.1,0.0,2021-04-23
23,53.9,39.8,62.2,6.0,30.0,0.0,2021-04-24
24,55.2,46.6,75.0,10.9,29.8,0.86,2021-04-25
25,57.0,30.5,38.5,11.0,30.1,0.0,2021-04-26
26,66.5,47.9,53.3,8.0,30.0,0.0,2021-04-27
27,73.9,57.5,58.0,9.4,29.9,0.0,2021-04-28
28,75.6,61.3,62.0,10.8,29.7,0.0,2021-04-29
29,64.2,39.8,42.9,20.7,29.7,0.01,2021-04-30
