,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,46.8,40.5,82.4,7.1,29.8,0.95,2021-03-01
1,38.0,14.9,40.0,11.2,30.2,0.13,2021-03-02
2,45.3,22.7,46.1,7.4,30.0,0.0,2021-03-03
3,46.0,26.1,47.3,14.4,29.9,0.0,2021-03-04
4,35.6,11.3,37.4,14.0,30.1,0.0,2021-03-05
5,39.4,16.4,39.9,10.3,30.1,0.0,2021-03-06
6,38.4,14.8,40.0,8.2,30.4,0.0,2021-03-07
7,42.0,17.3,41.4,4.9,30.5,0.0,2021-03-08
8,52.8,29.7,44.9,6.7,30.4,0.0,2021-03-09
9,56.4,35.0,48.3,5.9,30.4,0.0,2021-03-10
10,63.7,36.8,39.2,11.1,30.2,0.0,2021-03-11
11,62.8,42.3,49.4,7.5,30.1,0.0,2021-03-12
12,52.9,16.8,24.5,10.2,30.3,0.0,2021-03-13
13,54.3,17.9,24.5,15.7,30.1,0.0,2021-03-14
14,41.0,7.7,26.2,10.2,30.4,0.0,2021-03-15
15,42.5,32.4,68.8,7.6,30.2,0.0,2021-03-16
16,45.4,40.4,83.0,5.0,30.1,0.0,2021-03-17
17,49.5,47.6,93.5,8.2,29.9,0.17,2021-03-18
18,45.4,23.7,46.6,17.7,30.1,0.2,2021-03-19
19,45.5,17.8,34.9,5.8,30.5,0.0,2021-03-20
20,50.1,27.6,46.9,4.5,30.5,0.0,2021-03-21
21,53.1,34.0,50.3,5.1,30.3,0.0,2021-03-22
22,56.8,43.4,61.8,7.9,30.2,0.0,2021-03-23
23,56.4,54.5,93.3,5.4,30.0,0.14,2021-03-24
24,58.6,56.2,92.0,4.6,30.0,1.55,2021-03-25
25,70.7,52.4,58.8,16.3,29.8,0.0,2021-03-26
26,61.5,45.7,57.0,9.1,30.1,0.0,2021-03-27
27,59.8,52.4,78.3,12.2,29.8,0.2,2021-03-28
28,51.3,26.4,39.0,13.3,30.1,0.33,2021-03-29
29,56.8,39.1,53.5,9.0,30.3,0.0,2021-03-30
30,61.6,57.9,87.9,6.5,30.0,0.0,2021-03-31
