,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,64.0,49.6,61.0,4.1,30.3,0.0,2021-10-01
1,67.0,58.5,75.2,5.8,30.2,0.0,2021-10-02
2,69.6,63.3,81.4,5.8,30.0,0.0,2021-10-03
3,74.8,65.6,73.5,8.1,29.9,0.0,2021-10-04
4,73.4,66.7,79.8,7.5,30.2,0.0,2021-10-05
5,69.8,64.8,84.2,6.9,30.3,0.02,2021-10-06
6,70.3,61.0,73.5,3.7,30.3,0.0,2021-10-07
7,71.0,61.4,72.5,2.4,30.1,0.0,2021-10-08
8,69.4,60.5,73.8,9.8,30.1,0.0,2021-10-09
9,68.3,62.6,82.2,11.1,30.1,0.01,2021-10-10
10,67.6,60.1,76.9,8.9,30.1,0.03,2021-10-11
11,67.3,61.8,82.9,5.5,30.1,0.0,2021-10-12
12,69.2,63.6,82.7,3.1,30.0,0.06,2021-10-13
13,70.6,59.8,71.6,5.4,30.0,0.0,2021-10-14
14,71.0,62.6,75.3,5.5,29.9,0.0,2021-10-15
15,67.8,58.7,73.0,12.1,29.8,0.0,2021-10-16
16,58.4,39.7,51.1,10.0,29.9,0.3,2021-10-17
17,58.5,38.7,50.0,9.5,30.0,0.0,2021-10-18
18,61.1,41.7,51.3,6.0,30.1,0.0,2021-10-19
19,65.3,48.0,56.4,7.0,30.1,0.0,2021-10-20
20,64.3,52.9,68.1,6.2,30.0,0.0,2021-10-21
21,65.3,48.8,56.1,8.5,29.9,0.0,2021-10-22
22,60.8,47.4,62.0,6.6,30.0,0.0,2021-10-23
23,61.9,49.8,64.9,7.2,30.1,0.0,2021-10-24
24,66.4,60.2,81.4,11.3,29.8,0.0,2021-10-25
25,60.1,50.1,71.4,12.3,29.6,1.66,2021-10-26
26,59.6,46.5,62.4,14.6,29.8,0.0,2021-10-27
27,59.8,49.9,70.2,6.5,29.9,0.0,2021-10-28
28,59.7,55.7,86.9,13.9,29.6,0.11,2021-10-29
29,58.7,52.2,79.7,7.8,29.5,1.08,2021-10-30
30,57.0,48.9,76.3,7.9,29.7,0.0,2021-10-31
