,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,37.4,32.2,82.6,7.8,30.3,0.0,2021-01-01
1,43.8,38.5,83.4,7.0,30.0,0.81,2021-01-02
2,40.5,37.4,89.1,7.8,30.0,0.19,2021-01-03
3,40.4,34.3,79.9,5.9,30.0,0.09,2021-01-04
4,40.9,35.2,80.5,6.9,29.9,0.0,2021-01-05
5,40.7,29.1,63.7,13.3,30.1,0.03,2021-01-06
6,39.9,26.1,59.0,10.4,30.2,0.0,2021-01-07
7,35.7,24.2,63.1,8.6,30.0,0.0,2021-01-08
8,38.5,18.2,45.5,15.3,30.0,0.0,2021-01-09
9,40.9,23.1,50.7,7.6,30.2,0.0,2021-01-10
10,36.8,28.0,71.5,3.3,30.3,0.0,2021-01-11
11,37.7,28.2,71.3,3.2,30.2,0.0,2021-01-12
12,39.5,30.3,71.1,3.3,30.0,0.0,2021-01-13
13,42.0,30.3,67.5,2.0,29.8,0.0,2021-01-14
14,43.6,36.7,77.6,6.8,29.8,0.0,2021-01-15
15,42.7,31.9,67.3,9.1,29.6,0.17,2021-01-16
16,40.6,26.1,57.0,9.3,29.8,0.0,2021-01-17
17,40.1,23.5,53.8,8.7,29.9,0.0,2021-01-18
18,41.4,20.2,45.3,7.8,30.1,0.0,2021-01-19
19,39.0,21.9,51.8,11.0,30.1,0.0,2021-01-20
20,40.7,23.7,53.2,7.3,29.8,0.0,2021-01-21
21,41.5,23.4,51.6,9.8,29.8,0.0,2021-01-22
22,33.0,11.0,40.9,16.5,30.2,0.0,2021-01-23
23,31.8,12.6,45.8,6.5,30.3,0.0,2021-01-24
24,34.5,25.9,72.5,7.1,30.1,0.0,2021-01-25
25,34.7,32.9,93.3,5.0,29.9,0.21,2021-01-26
26,39.0,31.1,75.2,8.6,30.0,0.04,2021-01-27
27,32.8,13.8,46.3,20.3,30.2,0.0,2021-01-28
28,29.0,8.2,41.8,16.5,30.3,0.0,2021-01-29
29,31.3,12.1,45.7,7.1,30.3,0.0,2021-01-30
30,31.3,27.9,87.6,8.7,30.1,0.03,2021-01-31
