,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,77.3,71.7,82.8,12.9,29.6,0.3,2021-09-01
1,71.1,52.7,54.3,11.3,29.9,1.04,2021-09-02
2,69.7,53.3,57.5,6.1,30.1,0.0,2021-09-03
3,70.8,58.8,67.0,4.7,30.0,0.0,2021-09-04
4,73.3,64.7,74.5,6.5,29.9,0.0,2021-09-05
5,77.6,60.0,57.8,6.7,29.9,0.01,2021-09-06
6,75.3,61.3,63.7,7.5,30.0,0.0,2021-09-07
7,76.3,67.6,75.0,11.0,29.8,0.0,2021-09-08
8,72.0,63.7,76.0,7.1,29.8,0.25,2021-09-09
9,70.1,52.1,53.9,10.1,30.0,0.0,2021-09-10
10,70.3,57.0,64.0,6.1,30.2,0.0,2021-09-11
11,74.6,62.9,68.0,9.7,30.1,0.0,2021-09-12
12,80.3,66.9,65.8,6.5,30.1,0.0,2021-09-13
13,80.3,69.9,71.8,4.8,30.0,0.0,2021-09-14
14,80.1,67.8,67.5,10.2,30.0,0.0,2021-09-15
15,75.2,68.5,80.2,8.0,30.1,0.0,2021-09-16
16,75.1,69.7,83.5,8.3,30.2,0.79,2021-09-17
17,74.7,69.3,84.0,3.3,30.1,0.01,2021-09-18
18,76.0,62.5,64.3,6.7,30.1,0.0,2021-09-19
19,71.9,59.1,65.3,6.9,30.3,0.0,2021-09-20
20,73.8,63.6,70.9,7.7,30.2,0.0,2021-09-21
21,75.2,69.9,83.7,11.2,30.0,0.0,2021-09-22
22,68.1,61.2,79.8,11.7,29.8,1.47,2021-09-23
23,65.6,48.5,56.3,6.0,30.1,0.16,2021-09-24
24,66.6,52.2,62.5,4.2,30.0,0.0,2021-09-25
25,68.3,47.7,50.0,8.8,30.0,0.0,2021-09-26
26,68.5,53.3,59.8,8.3,30.0,0.0,2021-09-27
27,72.9,59.4,63.6,6.6,29.9,0.0,2021-09-28
28,66.6,48.6,54.2,7.8,30.0,0.0,2021-09-29
29,65.3,49.3,58.1,6.4,30.1,0.0,2021-09-30
