,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,76.3,68.8,78.7,9.6,29.9,0.03,2021-07-01
1,74.2,62.6,70.5,9.1,29.8,1.36,2021-07-02
2,72.1,56.1,58.0,10.9,29.8,0.0,2021-07-03
3,76.0,60.5,60.3,5.2,29.9,0.0,2021-07-04
4,79.9,66.5,64.4,7.0,30.0,0.0,2021-07-05
5,83.5,70.5,65.8,9.7,30.0,0.0,2021-07-06
6,84.9,71.3,64.3,8.4,30.0,0.0,2021-07-07
7,78.9,69.6,73.5,9.9,29.9,0.0,2021-07-08
8,77.1,69.6,78.8,8.9,29.9,0.36,2021-07-09
9,77.0,62.2,61.6,7.7,30.0,1.03,2021-07-10
10,82.1,70.2,67.4,10.4,30.0,0.0,2021-07-11
11,83.7,73.5,71.9,9.6,30.1,0.0,2021-07-12
12,85.1,72.3,66.0,11.3,30.1,0.0,2021-07-13
13,81.2,69.1,68.3,7.3,30.1,0.0,2021-07-14
14,82.2,69.5,67.2,6.3,30.1,0.0,2021-07-15
15,85.7,69.3,59.0,6.7,30.0,0.0,2021-07-16
16,85.9,72.2,64.3,10.8,30.0,0.0,2021-07-17
17,78.2,62.3,58.8,10.3,30.0,0.0,2021-07-18
18,80.2,63.6,58.0,6.6,30.0,0.0,2021-07-19
19,82.8,65.0,56.3,5.9,29.9,0.0,2021-07-20
20,81.1,65.4,59.3,8.1,29.9,0.0,2021-07-21
21,76.4,54.1,47.5,9.5,30.1,0.45,2021-07-22
22,77.0,54.4,47.2,4.5,30.1,0.0,2021-07-23
23,77.9,62.3,59.2,8.5,30.1,0.0,2021-07-24
24,80.9,69.3,67.9,10.8,29.9,0.03,2021-07-25
25,81.1,68.9,69.0,7.5,29.9,0.0,2021-07-26
26,83.2,65.8,59.7,4.1,30.0,0.37,2021-07-27
27,81.5,66.0,61.7,6.5,30.0,0.0,2021-07-28
28,79.3,71.7,77.9,7.1,29.9,0.45,2021-07-29
29,82.7,63.0,54.0,10.0,29.9,0.19,2021-07-30
30,75.0,57.2,54.3,7.8,30.0,0.0,2021-07-31
