,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,68.2,56.8,67.8,8.4,30.3,0.0,2021-06-01
1,71.8,58.4,63.7,9.3,30.2,0.0,2021-06-02
2,72.3,66.1,81.5,10.2,30.0,0.07,2021-06-03
3,73.9,66.2,78.8,7.4,29.9,0.03,2021-06-04
4,80.0,64.4,61.8,7.6,30.0,0.05,2021-06-05
5,81.5,67.9,64.6,8.0,30.0,0.0,2021-06-06
6,82.5,71.7,70.2,9.8,30.1,0.0,2021-06-07
7,82.8,71.8,69.7,8.4,30.0,0.0,2021-06-08
8,81.5,69.3,67.0,6.6,30.0,0.01,2021-06-09
9,70.7,63.6,71.3,7.8,27.4,0.0,2021-06-10
10,67.5,64.7,88.6,11.8,29.2,1.27,2021-06-11
11,70.5,60.7,72.5,7.9,29.8,1.52,2021-06-12
12,74.3,64.3,71.0,8.4,29.9,0.0,2021-06-13
13,74.9,64.6,71.6,11.8,29.8,0.0,2021-06-14
14,73.1,59.5,64.9,9.8,29.8,1.83,2021-06-15
15,73.1,47.6,42.0,11.4,29.9,0.0,2021-06-16
16,71.5,42.8,36.8,7.6,30.0,0.0,2021-06-17
17,74.5,55.4,52.3,9.2,30.0,0.0,2021-06-18
18,79.4,64.8,61.5,7.2,29.8,0.0,2021-06-19
19,80.3,70.5,72.7,9.3,29.8,0.17,2021-06-20
20,79.7,70.9,75.0,8.9,29.7,0.0,2021-06-21
21,69.1,62.0,79.0,8.5,29.8,0.05,2021-06-22
22,67.8,46.7,48.9,5.8,30.2,0.34,2021-06-23
23,71.0,51.9,52.3,5.3,30.3,0.0,2021-06-24
24,72.4,59.6,65.1,6.8,30.3,0.0,2021-06-25
25,77.1,70.0,79.2,10.0,30.2,0.14,2021-06-26
26,80.7,71.1,73.2,11.8,30.2,0.0,2021-06-27
27,83.2,71.7,69.0,11.0,30.2,0.0,2021-06-28
28,84.2,72.0,67.8,10.2,30.2,0.0,2021-06-29
29,83.7,69.4,63.1,8.7,30.0,0.0,2021-06-30
