,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,74.9,67.3,77.3,6.4,29.9,0.32,2021-08-01
1,74.3,57.8,58.0,8.3,30.0,0.03,2021-08-02
2,74.3,59.9,62.0,6.0,30.1,0.0,2021-08-03
3,74.6,59.3,60.6,8.2,30.1,0.0,2021-08-04
4,77.0,60.1,58.1,4.8,30.1,0.0,2021-08-05
5,79.9,64.2,60.4,9.1,30.1,0.0,2021-08-06
6,72.8,66.2,79.5,6.1,30.1,0.0,2021-08-07
7,77.5,64.5,66.8,6.3,30.1,0.24,2021-08-08
8,81.0,70.7,72.2,8.8,30.1,0.0,2021-08-09
9,81.1,71.1,72.7,9.9,30.1,0.0,2021-08-10
10,81.8,71.4,72.1,7.5,30.0,0.65,2021-08-11
11,84.4,73.0,69.9,8.8,30.0,0.04,2021-08-12
12,84.7,70.8,64.6,7.3,30.1,0.0,2021-08-13
13,82.0,70.5,69.4,6.9,30.1,0.09,2021-08-14
14,76.8,66.8,73.1,8.7,30.1,2.62,2021-08-15
15,77.0,70.6,81.1,5.7,30.1,0.0,2021-08-16
16,79.0,72.6,81.5,6.8,30.1,1.34,2021-08-17
17,82.1,75.4,80.4,12.6,30.1,0.05,2021-08-18
18,82.8,70.5,67.8,7.5,30.0,0.31,2021-08-19
19,76.5,69.2,79.0,6.7,29.9,0.94,2021-08-20
20,80.3,69.6,70.5,4.1,29.9,1.36,2021-08-21
21,78.7,69.2,73.2,4.6,29.9,0.21,2021-08-22
22,83.8,69.1,63.0,8.3,29.9,0.0,2021-08-23
23,80.2,66.6,61.1,8.0,30.0,0.02,2021-08-24
24,83.2,71.8,70.3,5.0,30.1,0.0,2021-08-25
25,81.0,72.1,74.5,4.8,30.1,0.01,2021-08-26
26,80.5,72.7,77.9,6.3,30.1,0.58,2021-08-27
27,81.8,72.2,73.3,7.4,30.1,0.26,2021-08-28
28,77.4,69.3,76.8,6.4,30.1,0.0,2021-08-29
29,79.7,71.3,76.4,5.0,29.9,0.0,2021-08-30
30,80.6,70.0,70.9,3.8,29.8,0.0,2021-08-31
