,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,57.8,26.0,30.8,13.3,30.0,0.0,2021-05-01
1,68.9,46.0,45.0,10.9,29.8,0.0,2021-05-02
2,70.5,61.0,71.9,10.6,29.8,0.01,2021-05-03
3,71.2,64.0,79.0,8.6,29.7,0.06,2021-05-04
4,68.0,59.1,75.3,9.6,29.7,0.49,2021-05-05
5,58.1,36.8,45.8,9.2,30.0,0.04,2021-05-06
6,55.7,44.3,66.7,6.0,29.9,0.0,2021-05-07
7,52.7,39.0,62.2,10.2,29.9,0.08,2021-05-08
8,58.2,43.0,57.5,8.3,30.0,0.01,2021-05-09
9,61.6,42.7,50.9,13.4,29.9,0.0,2021-05-10
10,61.0,36.5,40.8,9.0,30.1,0.0,2021-05-11
11,58.0,33.4,40.2,9.6,30.2,0.0,2021-05-12
12,61.8,35.2,40.6,6.8,30.2,0.0,2021-05-13
13,62.6,38.9,44.1,4.6,30.2,0.0,2021-05-14
14,65.3,40.1,43.6,3.5,30.2,0.0,2021-05-15
15,61.8,47.0,59.3,6.8,30.3,0.0,2021-05-16
16,64.8,49.0,58.6,4.4,30.3,0.0,2021-05-17
17,67.8,49.3,54.0,6.3,30.3,0.0,2021-05-18
18,71.9,52.3,52.1,7.2,30.3,0.0,2021-05-19
19,74.5,53.6,51.7,6.6,30.4,0.0,2021-05-20
20,71.4,49.1,47.0,5.4,30.5,0.0,2021-05-21
21,77.5,54.6,46.9,8.1,30.3,0.0,2021-05-22
22,84.5,57.8,40.4,10.7,30.0,0.0,2021-05-23
23,66.3,56.9,72.6,9.3,30.2,0.12,2021-05-24
24,67.1,57.7,72.3,7.8,30.2,0.22,2021-05-25
25,76.2,67.1,74.5,9.8,30.0,0.0,2021-05-26
26,77.4,58.9,54.7,7.4,30.0,0.9,2021-05-27
27,68.7,59.8,74.3,11.0,29.8,0.0,2021-05-28
28,54.0,50.2,87.0,14.9,29.9,1.4,2021-05-29
29,53.6,46.1,76.2,12.2,30.1,0.44,2021-05-30
30,63.3,47.4,59.2,5.5,30.3,0.0,2021-05-31
